name,our_pv,scgen_pv,diff
DYRK3,8.70E-99,1.31E-36,-1.31E-36
ALKBH8,3.39E-94,1.31E-36,-1.31E-36
TMEM53,1.48E-85,1.31E-36,-1.31E-36
CD86,3.99E-71,1.31E-36,-1.31E-36
ZC3H15,3.57E-35,3.73E-35,-1.58E-36
ACAD9,2.58E-96,1.77E-36,-1.77E-36
TAF4B,1.15E-93,1.77E-36,-1.77E-36
PRPF40A,3.57E-35,3.77E-35,-1.98E-36
TNKS,2.19E-99,2.14E-36,-2.14E-36
MAX,3.57E-35,3.83E-35,-2.58E-36
ECH1,3.57E-35,3.83E-35,-2.58E-36
MAGED2,3.57E-35,3.83E-35,-2.58E-36
PNPT1,3.57E-35,3.83E-35,-2.58E-36
CTA-445C9.15,3.55E-41,2.76E-36,-2.76E-36
SPAG4,4.63E-102,2.76E-36,-2.76E-36
LPAR5,4.63E-102,2.76E-36,-2.76E-36
PEX11A,9.26E-100,2.76E-36,-2.76E-36
TTC22,1.74E-98,2.76E-36,-2.76E-36
NEDD4L,1.58E-92,2.76E-36,-2.76E-36
RP5-1074L1.4,3.70E-78,2.76E-36,-2.76E-36
RP11-253M7.4,1.16E-75,2.76E-36,-2.76E-36
WDR78,6.66E-65,2.76E-36,-2.76E-36
GLRX,1.60E-36,6.35E-36,-4.75E-36
ZSCAN18,3.97E-92,5.47E-36,-5.47E-36
SLC7A5,2.85E-95,6.11E-36,-6.11E-36
NDUFAF3,1.69E-36,8.59E-36,-6.90E-36
FGFBP2,9.78E-55,7.29E-36,-7.29E-36
CHST12,1.61E-34,1.70E-34,-8.88E-36
MZT2B,3.15E-39,1.05E-35,-1.05E-35
NDUFA5,1.61E-34,1.72E-34,-1.15E-35
USMG5,1.61E-34,1.72E-34,-1.15E-35
ODF2L,1.61E-34,1.72E-34,-1.15E-35
IFITM1,1.61E-34,1.72E-34,-1.15E-35
EIF5B,1.61E-34,1.72E-34,-1.15E-35
NCL,1.60E-34,1.72E-34,-1.21E-35
SLAMF1,4.42E-91,1.89E-35,-1.89E-35
ROPN1L,8.06E-40,1.95E-35,-1.95E-35
CTD-2210P24.4,5.07E-43,1.95E-35,-1.95E-35
BSPRY,5.84E-44,1.95E-35,-1.95E-35
AKAP12,8.31E-49,1.95E-35,-1.95E-35
HEY1,4.63E-102,1.95E-35,-1.95E-35
CAMSAP1,4.63E-102,1.95E-35,-1.95E-35
XCL1,4.63E-102,1.95E-35,-1.95E-35
CNIH3,1.60E-88,1.95E-35,-1.95E-35
GALNT3,3.41E-87,1.95E-35,-1.95E-35
NPPC,2.86E-83,1.95E-35,-1.95E-35
EPHA4,5.74E-55,1.95E-35,-1.95E-35
EIF5A,3.13E-33,3.15E-33,-2.21E-35
TMEM243,3.13E-33,3.16E-33,-3.82E-35
ATRAID,3.59E-37,4.16E-35,-4.12E-35
PHB,7.03E-34,7.51E-34,-4.85E-35
CMTM7,7.14E-34,7.63E-34,-4.94E-35
ELMSAN1,2.26E-98,4.97E-35,-4.97E-35
CARD11,1.06E-97,4.97E-35,-4.97E-35
VAV3,2.96E-101,6.41E-35,-6.41E-35
PRMT3,2.19E-99,1.02E-34,-1.02E-34
MTX3,2.57E-36,1.35E-34,-1.32E-34
NPTXR,1.82E-101,1.35E-34,-1.35E-34
RP11-16E18.3,3.61E-99,1.35E-34,-1.35E-34
ZNF441,8.80E-71,1.35E-34,-1.35E-34
TMCO1,3.57E-35,1.74E-34,-1.38E-34
DAK,2.39E-97,1.64E-34,-1.64E-34
CD247,7.82E-36,1.77E-34,-1.69E-34
NOL9,2.33E-100,2.09E-34,-2.09E-34
CHAF1A,8.72E-98,2.09E-34,-2.09E-34
MSL3,3.13E-33,3.34E-33,-2.10E-34
ZC3H3,2.26E-98,3.32E-34,-3.32E-34
SIDT1-AS1,2.26E-98,3.32E-34,-3.32E-34
RP1-40E16.12,2.19E-99,3.41E-34,-3.41E-34
RP11-315O6.1,2.96E-101,4.33E-34,-4.33E-34
SUSD4,2.11E-99,4.33E-34,-4.33E-34
SPARC,1.64E-91,4.33E-34,-4.33E-34
CHRNA6,1.16E-58,6.76E-34,-6.76E-34
SS18L2,1.35E-32,1.44E-32,-8.80E-34
NDUFAB1,1.35E-32,1.44E-32,-8.80E-34
TAS2R14,9.26E-100,9.04E-34,-9.04E-34
RP11-548P2.2,7.38E-90,9.04E-34,-9.04E-34
KIT,6.95E-86,9.04E-34,-9.04E-34
TTLL11,7.87E-60,9.04E-34,-9.04E-34
NCDN,1.05E-99,1.38E-33,-1.38E-33
C10orf88,2.26E-98,2.16E-33,-2.16E-33
HEATR2,2.34E-43,2.86E-33,-2.86E-33
ATG9B,1.28E-100,2.86E-33,-2.86E-33
RGS3,8.70E-99,2.86E-33,-2.86E-33
SPP1,2.58E-82,2.86E-33,-2.86E-33
PDCD5,1.61E-34,3.37E-33,-3.21E-33
ARHGAP24,4.79E-35,5.95E-33,-5.90E-33
KREMEN2,1.82E-101,5.95E-33,-5.95E-33
RP11-327P2.5,9.26E-100,5.95E-33,-5.95E-33
C1R,1.60E-88,5.95E-33,-5.95E-33
GALNT12,3.70E-78,5.95E-33,-5.95E-33
CD83,2.24E-93,6.82E-33,-6.82E-33
RP11-111M22.3,2.39E-97,6.86E-33,-6.86E-33
HAX1,2.40E-31,2.56E-31,-1.55E-32
RHOC,7.13E-78,1.78E-32,-1.78E-32
PVRL3,1.28E-100,1.85E-32,-1.85E-32
NHP2,2.19E-31,2.44E-31,-2.50E-32
UGP2,4.03E-30,4.05E-30,-2.63E-32
STAG3,4.63E-102,3.83E-32,-3.83E-32
RFX7,9.26E-100,3.83E-32,-3.83E-32
C11orf71,6.95E-86,3.83E-32,-3.83E-32
CCL27,5.49E-72,3.83E-32,-3.83E-32
MORC2-AS1,3.45E-63,3.83E-32,-3.83E-32
RPA2,1.35E-32,6.05E-32,-4.70E-32
CD3G,9.90E-31,1.05E-30,-5.93E-32
OSTC,9.90E-31,1.05E-30,-6.43E-32
RPN2,9.90E-31,1.05E-30,-6.43E-32
RP11-79P5.9,2.96E-101,1.17E-31,-1.17E-31
ZNF530,2.11E-99,1.17E-31,-1.17E-31
ERMP1,7.92E-94,1.25E-31,-1.25E-31
SVIL,5.45E-95,1.33E-31,-1.33E-31
ZNF182,4.40E-43,1.73E-31,-1.73E-31
KYNU,3.21E-94,2.08E-31,-2.08E-31
SMAD5-AS1,4.63E-102,2.40E-31,-2.40E-31
TMEM171,1.42E-84,2.40E-31,-2.40E-31
SLFN5,4.03E-30,4.28E-30,-2.55E-31
ZNF268,2.39E-97,2.62E-31,-2.62E-31
CHERP,2.33E-100,3.51E-31,-3.51E-31
SLFN13,7.83E-92,3.51E-31,-3.51E-31
ACOT4,1.13E-69,3.51E-31,-3.51E-31
TRPM7,1.55E-64,5.23E-31,-5.23E-31
EGR1,3.39E-94,7.17E-31,-7.17E-31
PDP2,1.48E-85,7.17E-31,-7.17E-31
ABCG2,3.72E-68,7.17E-31,-7.17E-31
AC083843.1,8.47E-34,1.47E-30,-1.47E-30
FASN,1.82E-101,1.47E-30,-1.47E-30
RP11-44N11.2,9.26E-100,1.47E-30,-1.47E-30
KLHL3,1.74E-98,1.47E-30,-1.47E-30
RP11-271K21.11,1.60E-90,1.47E-30,-1.47E-30
FANCC,3.19E-85,1.47E-30,-1.47E-30
AL136531.1,2.50E-51,1.47E-30,-1.47E-30
CCNB1,2.39E-97,1.56E-30,-1.56E-30
ZNF570,2.33E-100,2.12E-30,-2.12E-30
TSC22D1,4.27E-99,2.12E-30,-2.12E-30
PVRIG,7.19E-59,2.12E-30,-2.12E-30
MRFAP1,9.90E-31,3.65E-30,-2.66E-30
ATP5G1,5.73E-32,4.07E-30,-4.02E-30
GS1-124K5.4,2.96E-101,4.30E-30,-4.30E-30
KCNK1,1.28E-100,4.30E-30,-4.30E-30
RAB11FIP5,7.21E-87,4.30E-30,-4.30E-30
AQP9,2.77E-61,4.30E-30,-4.30E-30
FBXW4,1.87E-93,6.20E-30,-6.20E-30
RP11-108M9.6,7.52E-91,6.33E-30,-6.33E-30
NR3C1,2.48E-28,2.56E-28,-7.31E-30
BCL7A,1.82E-101,8.79E-30,-8.79E-30
KCNN1,5.53E-101,8.79E-30,-8.79E-30
ZFYVE1,6.96E-96,8.79E-30,-8.79E-30
HOXB5,6.96E-96,8.79E-30,-8.79E-30
CETP,6.96E-96,8.79E-30,-8.79E-30
JAM3,3.48E-91,8.79E-30,-8.79E-30
CTD-2083E4.6,9.28E-64,8.79E-30,-8.79E-30
ZNF12,4.27E-99,1.25E-29,-1.25E-29
DUT,2.48E-28,2.63E-28,-1.47E-29
TREX1,2.48E-28,2.63E-28,-1.47E-29
GIMAP2,2.48E-28,2.63E-28,-1.47E-29
CDC42SE2,3.60E-27,3.64E-27,-3.41E-29
TYW5,2.11E-97,3.59E-29,-3.59E-29
